id,year,stage,match,gameday,time,home,away,stadium,tv
16245,2014,Ｊ２,第２５節第１日,08/03(日),18:03,Ｖ・ファーレン長崎,ＦＣ岐阜,長崎県立総合運動公園陸上競技場,スカパー！／スカパー！プレミアムサービス
16250,2014,Ｊ２,第２６節第１日,08/10(日),14:03,コンサドーレ札幌,京都サンガF.C.,札幌ドーム,スカパー！／スカパー！プレミアムサービス／札幌テレビ
16251,2014,Ｊ２,第２６節第１日,08/10(日),18:04,水戸ホーリーホック,ギラヴァンツ北九州,ケーズデンキスタジアム水戸,スカパー！／スカパー！プレミアムサービス
16254,2014,Ｊ２,第２６節第１日,08/10(日),18:04,カターレ富山,モンテディオ山形,富山県総合運動公園陸上競技場,スカパー！／スカパー！プレミアムサービス
16263,2014,Ｊ２,第２７節第１日,08/17(日),18:04,ザスパクサツ群馬,ＦＣ岐阜,正田醤油スタジアム群馬,スカパー！／スカパー！プレミアムサービス
16311,2014,Ｊ２,第３１節第１日,09/14(日),18:04,カマタマーレ讃岐,湘南ベルマーレ,香川県立丸亀競技場,スカパー！／スカパー！プレミアムサービス
16314,2014,Ｊ２,第３１節第１日,09/14(日),18:06,Ｖ・ファーレン長崎,ジュビロ磐田,長崎県立総合運動公園陸上競技場,スカパー！／スカパー！プレミアムサービス
16322,2014,Ｊ２,第３２節第２日,09/20(土),13:03,松本山雅ＦＣ,カマタマーレ讃岐,松本平広域公園総合球技場,スカパー！／スカパー！プレミアムサービス
16331,2014,Ｊ２,第３３節第１日,09/23(火・祝),13:04,カターレ富山,ザスパクサツ群馬,富山県総合運動公園陸上競技場,スカパー！／スカパー！プレミアムサービス
16335,2014,Ｊ２,第３３節第１日,09/23(火・祝),14:04,愛媛ＦＣ,ジェフユナイテッド千葉,ニンジニアスタジアム,スカパー！／スカパー！プレミアムサービス／ＮＨＫ松山
16344,2014,Ｊ２,第３４節第１日,09/28(日),16:04,ジュビロ磐田,愛媛ＦＣ,ヤマハスタジアム（磐田）,スカパー！／スカパー！プレミアムサービス
16352,2014,Ｊ２,第３５節第１日,10/04(土),13:03,東京ヴェルディ,ロアッソ熊本,駒沢オリンピック公園総合運動場陸上競技場,スカパー！／スカパー！プレミアムサービス
16362,2014,Ｊ２,第３６節第１日,10/11(土),16:03,水戸ホーリーホック,カターレ富山,ケーズデンキスタジアム水戸,スカパー！／スカパー！プレミアムサービス
16376,2014,Ｊ２,第３７節第１日,10/19(日),16:04,カマタマーレ讃岐,愛媛ＦＣ,香川県立丸亀競技場,スカパー！／スカパー！プレミアムサービス／ＮＨＫ高松／ＮＨＫ松山
16382,2014,Ｊ２,第３８節第１日,10/26(日),13:03,コンサドーレ札幌,湘南ベルマーレ,札幌ドーム,スカパー！／スカパー！プレミアムサービス／北海道文化放送
16384,2014,Ｊ２,第３８節第１日,10/26(日),13:03,水戸ホーリーホック,カマタマーレ讃岐,ケーズデンキスタジアム水戸,スカパー！／スカパー！プレミアムサービス
16385,2014,Ｊ２,第３８節第１日,10/26(日),13:03,栃木ＳＣ,アビスパ福岡,栃木県グリーンスタジアム,スカパー！／スカパー！プレミアムサービス／とちぎテレビ（録）
16394,2014,Ｊ２,第３９節第１日,11/01(土),19:03,ジェフユナイテッド千葉,ジュビロ磐田,フクダ電子アリーナ,スカパー！／スカパー！プレミアムサービス
16398,2014,Ｊ２,第３９節第１日,11/01(土),14:05,ＦＣ岐阜,大分トリニータ,岐阜メモリアルセンター長良川競技場,スカパー！／スカパー！プレミアムサービス
16400,2014,Ｊ２,第３９節第１日,11/01(土),13:03,カマタマーレ讃岐,ギラヴァンツ北九州,香川県立丸亀競技場,スカパー！／スカパー！プレミアムサービス
16403,2014,Ｊ２,第３９節第１日,11/01(土),19:03,ロアッソ熊本,モンテディオ山形,うまかな・よかなスタジアム,スカパー！／スカパー！プレミアムサービス
16428,2014,Ｊ２,第４２節第１日,11/23(日・祝),14:03,栃木ＳＣ,Ｖ・ファーレン長崎,栃木県グリーンスタジアム,スカパー！／スカパー！プレミアムサービス／とちぎテレビ（録）
16430,2014,Ｊ２,第４２節第１日,11/23(日・祝),14:03,横浜ＦＣ,ギラヴァンツ北九州,ニッパツ三ツ沢球技場,スカパー！／スカパー！プレミアムサービス
